bearID,Seal,Beluga,Walrus,Bodycond,Sex,Ageclass,Year,Era,Region,Lat,Long
BEAR0299,87.91,0,12.09,74.63,M,Adult,2005,Mid,Central,71.54,-119.14
BEAR0301,39.88,60.12,0,84.97,M,Cub,2005,Mid,Central,70.63,-117.42
BEAR0303,69.85,19.17,10.98,77.98,M,Adult,2005,Mid,West,70.65,-128.4
BEAR0306,65.16,33.96,0.89,72.08,M,Subadult,2000,Early,Central,71.22,-118.12
BEAR0312,58.78,36.93,4.29,74.65,M,Adult,2000,Early,Central,70.97,-121.75
BEAR0317,56.19,35.03,8.77,82.14,M,Adult,2000,Early,West,69.5,-133.03
BEAR0319,43.58,46.32,10.1,90.74,M,Adult,2000,Early,West,69.75,-133
BEAR0320,20.93,79.07,0,77.85,F,Adult,2000,Early,West,69.58,-133.12
BEAR0321,69.21,15.72,15.07,82.14,M,Adult,2000,Early,West,69.95,-131.45
BEAR0322,30.96,64.11,4.94,89.25,F,Adult,2000,Early,West,69.77,-132.33
BEAR0323,61.34,34.89,3.77,81.14,M,Adult,2000,Early,West,69.76,-133.86
BEAR0326,63.1,34.16,2.73,77.58,M,Adult,2000,Early,Central,71.2,-122.17
BEAR0327,77.96,15.12,6.92,71.33,M,Adult,2000,Early,Central,70.56,-122.47
BEAR0329,46.91,49.13,3.97,77.73,M,Subadult,2007,Mid,West,69.79,-136.07
BEAR0344,60.13,31.09,8.78,93.83,M,Adult,2005,Mid,West,70.13,-124.29
BEAR0345,36.73,61.24,2.04,74.32,M,Adult,2005,Mid,West,70.64,-128.32
BEAR0346,31.35,67,1.65,77.02,M,Adult,2005,Mid,West,70.09,-131.28
BEAR0347,31.26,68.74,0,79.38,M,Adult,2005,Mid,West,69.79,-133.64
BEAR0348,40.71,57.73,1.57,83.28,F,Adult,2005,Mid,West,70.5,-128.14
BEAR0350,29.27,61.33,9.39,79.94,F,Adult,2008,Late,West,69.78,-133.93
BEAR0351,23.87,75.45,0.67,87.74,M,Adult,2008,Late,Central,70.12,-124.35
BEAR0353,33.3,66.51,0.18,85.9,F,Subadult,2008,Late,Central,71.07,-120.67
BEAR0355,50.75,46.96,2.29,84.41,M,Cub,2008,Late,Central,71.37,-121.03
BEAR0363,30.59,68.78,0.63,85.45,F,Subadult,2008,Late,Central,71.08,-120.33
